OrderNumber,OrderDate,CUSTOMER_INDEX,Channel,Warehouse Code,Delivery Region Index,PRODUCT_INDEX,ORDER_QTY,UNIT_PRICE_USD,TOTAL_REVENUE_USD
SO - 000101,01-01-2013,15,Distributor,NXH382,47,11,5,15,75
SO - 000102,01-01-2013,20,Wholesale,GUT930,36,2,5,3939.6,19698
SO - 000103,01-01-2013,16,Export,GUT930,39,11,10,1775.5,17755
SO - 000104,01-01-2013,48,Export,AXW291,20,7,6,2324.9,13949.4
SO - 000105,01-01-2013,49,Wholesale,AXW291,20,7,6,1822.4,10934.4
SO - 000106,02-01-2013,21,Wholesale,NXH382,52,5,6,1038.5,6231
SO - 000107,02-01-2013,14,Distributor,AXW291,1,1,10,1192.6,11926
SO - 000108,02-01-2013,9,Distributor,NXH382,51,1,10,1815.7,18157
SO - 000109,03-01-2013,9,Wholesale,NXH382,54,6,7,3879.3,27155.1
SO - 000110,03-01-2013,33,Wholesale,NXH382,47,1,6,1956.4,11738.4
SO - 000111,03-01-2013,21,Export,AXW291,3,1,12,201,2412
SO - 000112,03-01-2013,21,Distributor,AXW291,28,11,8,6277.9,50223.2
SO - 000113,03-01-2013,36,Export,NXH382,57,1,7,1051.9,7363.3
SO - 000114,03-01-2013,17,Export,NXH382,53,7,9,254.6,2291.4
SO - 000115,03-01-2013,32,Distributor,AXW291,25,11,5,3932.9,19664.5
SO - 000116,03-01-2013,11,Wholesale,FLR025,64,6,10,1112.2,11122
SO - 000117,03-01-2013,10,Wholesale,NXH382,58,4,12,1239.5,14874
SO - 000118,03-01-2013,30,Export,AXW291,4,13,12,984.9,11818.8
SO - 000119,04-01-2013,5,Distributor,FLR025,63,1,5,5581.1,27905.5
SO - 000120,04-01-2013,23,Wholesale,AXW291,25,7,8,3095.4,24763.2
SO - 000121,04-01-2013,46,Export,GUT930,35,1,8,2278,18224
SO - 000122,04-01-2013,14,Export,NXH382,51,2,12,991.6,11899.2
SO - 000123,04-01-2013,40,Distributor,AXW291,4,13,6,3979.8,23878.8
SO - 000124,04-01-2013,19,Wholesale,GUT930,40,12,12,1969.8,23637.6
SO - 000125,04-01-2013,15,Wholesale,GUT930,31,8,12,268,3216
SO - 000126,04-01-2013,46,Wholesale,AXW291,20,7,11,174.2,1916.2
SO - 000127,04-01-2013,32,Distributor,GUT930,42,1,6,2988.2,17929.2
SO - 000128,05-01-2013,32,Wholesale,GUT930,43,5,11,3999.9,43998.9
SO - 000129,05-01-2013,22,Distributor,AXW291,18,11,10,5976.4,59764
SO - 000130,05-01-2013,5,Wholesale,AXW291,19,5,6,2901.1,17406.6
SO - 000131,05-01-2013,29,Distributor,NXH382,55,1,7,6076.9,42538.3
SO - 000132,05-01-2013,35,Distributor,NXH382,55,5,6,5735.2,34411.2
SO - 000133,05-01-2013,46,Export,GUT930,39,8,12,3919.5,47034
SO - 000134,05-01-2013,42,Distributor,FLR025,66,13,8,6083.6,48668.8
SO - 000135,06-01-2013,2,Wholesale,FLR025,61,13,5,2566.1,12830.5
SO - 000136,06-01-2013,28,Wholesale,AXW291,15,5,10,2278,22780
SO - 000137,06-01-2013,46,Wholesale,GUT930,46,11,7,261.3,1829.1
SO - 000138,06-01-2013,22,Wholesale,FLR025,65,7,9,998.3,8984.7
SO - 000139,06-01-2013,34,Wholesale,AXW291,17,2,6,3497.4,20984.4
SO - 000140,06-01-2013,26,Wholesale,GUT930,36,5,9,1132.3,10190.7
SO - 000141,06-01-2013,26,Wholesale,AXW291,8,11,9,2405.3,21647.7
SO - 000142,06-01-2013,24,Distributor,FLR025,66,1,7,5701.7,39911.9
SO - 000143,07-01-2013,18,Distributor,GUT930,45,12,9,2452.2,22069.8
SO - 000144,07-01-2013,21,Wholesale,AXW291,2,5,7,3095.4,21667.8
SO - 000145,07-01-2013,14,Export,GUT930,38,11,9,3865.9,34793.1
SO - 000146,08-01-2013,3,Distributor,AXW291,7,2,7,2304.8,16133.6
SO - 000147,08-01-2013,13,Distributor,AXW291,7,13,10,3195.9,31959
SO - 000148,08-01-2013,49,Wholesale,NXH382,53,2,10,6452.1,64521
SO - 000149,08-01-2013,4,Export,AXW291,19,5,6,2003.3,12019.8
SO - 000150,08-01-2013,20,Wholesale,AXW291,4,5,5,3638.1,18190.5
SO - 000151,09-01-2013,19,Export,AXW291,20,5,6,2278,13668
SO - 000152,09-01-2013,25,Distributor,AXW291,26,13,12,924.6,11095.2
SO - 000153,09-01-2013,8,Wholesale,AXW291,20,7,11,3926.2,43188.2
SO - 000154,09-01-2013,24,Export,FLR025,63,7,7,3825.7,26779.9
SO - 000155,10-01-2013,13,Wholesale,FLR025,65,7,10,2257.9,22579
SO - 000156,10-01-2013,32,Wholesale,AXW291,27,6,7,1112.2,7785.4
SO - 000157,10-01-2013,28,Wholesale,AXW291,19,3,5,3557.7,17788.5
SO - 000158,10-01-2013,8,Distributor,AXW291,11,1,7,2371.8,16602.6
SO - 000159,11-01-2013,47,Wholesale,AXW291,11,2,12,857.6,10291.2
SO - 000160,12-01-2013,33,Wholesale,GUT930,43,5,11,3892.7,42819.7
SO - 000161,12-01-2013,26,Distributor,AXW291,28,7,8,3477.3,27818.4
SO - 000162,12-01-2013,20,Distributor,AXW291,28,7,6,3738.6,22431.6
SO - 000163,13-01-2013,6,Wholesale,NXH382,48,7,8,1072,8576
SO - 000164,13-01-2013,40,Wholesale,AXW291,22,9,12,2257.9,27094.8
SO - 000165,13-01-2013,23,Distributor,GUT930,42,7,5,1058.6,5293
SO - 000166,13-01-2013,38,Wholesale,AXW291,14,9,10,2492.4,24924
SO - 000167,13-01-2013,30,Wholesale,AXW291,13,2,6,3852.5,23115
SO - 000168,13-01-2013,42,Wholesale,GUT930,39,1,11,241.2,2653.2
SO - 000169,14-01-2013,1,Distributor,AXW291,6,13,5,1051.9,5259.5
SO - 000170,14-01-2013,11,Distributor,AXW291,31,5,8,227.8,1822.4
SO - 000171,14-01-2013,4,Wholesale,FLR025,60,7,9,1078.7,9708.3
SO - 000172,15-01-2013,6,Wholesale,AXW291,18,7,6,1005,6030
SO - 000173,15-01-2013,17,Distributor,NXH382,52,7,6,2485.7,14914.2
SO - 000174,15-01-2013,7,Distributor,AXW291,26,11,10,2659.9,26599
SO - 000175,16-01-2013,1,Wholesale,AXW291,20,7,11,2224.4,24468.4
SO - 000176,16-01-2013,27,Wholesale,FLR025,61,11,8,2472.3,19778.4
SO - 000177,16-01-2013,33,Wholesale,GUT930,42,7,7,1011.7,7081.9
SO - 000178,16-01-2013,28,Wholesale,GUT930,42,11,6,234.5,1407
SO - 000179,16-01-2013,42,Distributor,AXW291,29,7,8,261.3,2090.4
SO - 000180,17-01-2013,5,Export,AXW291,7,1,5,4006.6,20033
SO - 000181,17-01-2013,10,Distributor,GUT930,38,5,6,1333.3,7999.8
SO - 000182,17-01-2013,34,Wholesale,GUT930,46,11,5,167.5,837.5
SO - 000183,18-01-2013,23,Export,FLR025,61,13,5,3195.9,15979.5
SO - 000184,18-01-2013,18,Wholesale,NXH382,56,3,10,1051.9,10519
SO - 000185,19-01-2013,8,Export,AXW291,2,5,9,5447.1,49023.9
SO - 000186,19-01-2013,36,Wholesale,GUT930,36,2,8,3182.5,25460
SO - 000187,19-01-2013,47,Wholesale,FLR025,61,2,5,891.1,4455.5
SO - 000188,19-01-2013,27,Export,AXW291,29,13,7,3892.7,27248.9
SO - 000189,19-01-2013,5,Export,GUT930,45,7,9,3953,35577
SO - 000190,19-01-2013,38,Wholesale,GUT930,34,12,9,924.6,8321.4
SO - 000191,19-01-2013,21,Distributor,GUT930,34,5,10,3430.4,34304
SO - 000192,20-01-2013,24,Wholesale,AXW291,31,7,8,1152.4,9219.2
SO - 000193,20-01-2013,25,Wholesale,AXW291,24,7,5,1085.4,5427
SO - 000194,20-01-2013,11,Wholesale,AXW291,27,7,5,5031.7,25158.5
SO - 000195,21-01-2013,17,Wholesale,AXW291,18,7,8,1092.1,8736.8
SO - 000196,21-01-2013,5,Export,AXW291,4,7,9,187.6,1688.4
SO - 000197,21-01-2013,30,Export,AXW291,17,14,9,3993.2,35938.8
SO - 000198,21-01-2013,9,Export,FLR025,65,5,11,2472.3,27195.3
SO - 000199,21-01-2013,47,Wholesale,AXW291,5,13,11,1206,13266
SO - 000200,21-01-2013,5,Distributor,AXW291,26,2,11,1728.6,19014.6
SO - 000201,22-01-2013,23,Wholesale,AXW291,25,1,6,1983.2,11899.2
SO - 000202,22-01-2013,14,Wholesale,GUT930,33,7,7,5313.1,37191.7
SO - 000203,22-01-2013,44,Export,AXW291,11,9,11,871,9581
SO - 000204,22-01-2013,38,Wholesale,GUT930,32,7,6,2532.6,15195.6
SO - 000205,22-01-2013,14,Wholesale,AXW291,17,13,8,5916.1,47328.8
SO - 000206,22-01-2013,34,Wholesale,GUT930,42,2,7,2887.7,20213.9
SO - 000207,22-01-2013,13,Wholesale,GUT930,36,5,7,1855.9,12991.3
SO - 000208,22-01-2013,5,Distributor,AXW291,11,5,6,207.7,1246.2
SO - 000209,23-01-2013,2,Wholesale,FLR025,62,5,6,1058.6,6351.6
SO - 000210,23-01-2013,17,Wholesale,GUT930,44,13,10,958.1,9581
SO - 000211,23-01-2013,40,Wholesale,GUT930,34,13,9,2659.9,23939.1
SO - 000212,23-01-2013,15,Distributor,AXW291,26,2,12,2217.7,26612.4
SO - 000213,23-01-2013,12,Wholesale,AXW291,8,13,7,1715.2,12006.4
SO - 000214,23-01-2013,25,Wholesale,NXH382,52,8,6,3932.9,23597.4
SO - 000215,23-01-2013,13,Distributor,AXW291,31,7,5,2546,12730
SO - 000216,24-01-2013,18,Distributor,NXH382,50,7,5,837.5,4187.5
SO - 000217,24-01-2013,3,Distributor,GUT930,40,11,10,1809,18090
SO - 000218,24-01-2013,25,Distributor,NXH382,55,1,5,857.6,4288
SO - 000219,24-01-2013,11,Export,AXW291,2,9,8,1748.7,13989.6
SO - 000220,24-01-2013,44,Distributor,AXW291,14,7,10,1266.3,12663
SO - 000221,24-01-2013,30,Wholesale,AXW291,5,5,11,5058.5,55643.5
SO - 000222,25-01-2013,38,Distributor,AXW291,7,9,10,958.1,9581
SO - 000223,25-01-2013,47,Export,AXW291,22,9,11,1802.3,19825.3
SO - 000224,25-01-2013,17,Wholesale,AXW291,9,11,11,6298,69278
SO - 000225,25-01-2013,28,Wholesale,AXW291,1,11,6,2499.1,14994.6
SO - 000226,25-01-2013,5,Wholesale,GUT930,36,2,8,871,6968
SO - 000227,25-01-2013,32,Wholesale,GUT930,44,7,6,750.4,4502.4
SO - 000228,25-01-2013,21,Distributor,GUT930,36,2,5,763.8,3819
SO - 000229,25-01-2013,49,Export,NXH382,55,2,11,844.2,9286.2
SO - 000230,26-01-2013,6,Wholesale,AXW291,6,2,5,261.3,1306.5
SO - 000231,26-01-2013,47,Export,AXW291,13,5,8,3999.9,31999.2
SO - 000232,26-01-2013,32,Wholesale,GUT930,45,9,7,1112.2,7785.4
SO - 000233,26-01-2013,18,Wholesale,AXW291,30,11,8,2633.1,21064.8
SO - 000234,26-01-2013,8,Distributor,AXW291,24,10,5,1018.4,5092
SO - 000235,26-01-2013,24,Distributor,AXW291,10,1,12,5219.3,62631.6
SO - 000236,26-01-2013,11,Export,NXH382,47,7,11,3999.9,43998.9
SO - 000237,27-01-2013,50,Wholesale,FLR025,62,1,10,1721.9,17219
SO - 000238,28-01-2013,7,Wholesale,GUT930,35,5,9,737,6633
SO - 000239,28-01-2013,2,Wholesale,AXW291,6,9,9,1219.4,10974.6
SO - 000240,28-01-2013,18,Wholesale,NXH382,51,1,6,891.1,5346.6
SO - 000241,28-01-2013,28,Wholesale,AXW291,27,2,12,978.2,11738.4
SO - 000242,28-01-2013,47,Wholesale,AXW291,31,11,9,3946.3,35516.7
SO - 000243,28-01-2013,27,Wholesale,GUT930,33,7,12,1299.8,15597.6
SO - 000244,28-01-2013,21,Distributor,AXW291,14,7,5,5815.6,29078
SO - 000245,29-01-2013,43,Distributor,AXW291,22,2,10,1092.1,10921
SO - 000246,29-01-2013,42,Wholesale,AXW291,7,7,7,1072,7504
SO - 000247,29-01-2013,34,Wholesale,GUT930,39,9,11,4020,44220
SO - 000248,29-01-2013,37,Wholesale,AXW291,12,7,9,984.9,8864.1
SO - 000249,29-01-2013,50,Wholesale,FLR025,62,10,12,227.8,2733.6
SO - 000250,29-01-2013,17,Wholesale,AXW291,7,1,11,3993.2,43925.2
SO - 000251,30-01-2013,25,Distributor,AXW291,30,1,10,221.1,2211
SO - 000252,30-01-2013,21,Distributor,AXW291,19,11,9,3356.7,30210.3
SO - 000253,30-01-2013,35,Wholesale,NXH382,58,5,6,1701.8,10210.8
SO - 000254,30-01-2013,9,Wholesale,NXH382,50,10,5,2566.1,12830.5
SO - 000255,31-01-2013,22,Wholesale,AXW291,19,8,12,221.1,2653.2
SO - 000256,31-01-2013,28,Wholesale,GUT930,45,7,9,1782.2,16039.8
SO - 000257,31-01-2013,41,Wholesale,AXW291,17,2,10,2003.3,20033
