order_id,payment_value,payment_value_category
8fc207e94fa91a7649c5a5dab690272a,135.51,Medium
f26f92a3da58e9c771820a7b4d9a6800,57.68,Medium
b616f638cd86d92c7cbd06cf7484ee34,20.75,Low
38c4ae942b818085578157aabd4abf9e,183.65,High
aa466a92af916f9f68e56fce7d3a21b1,159.07,High
dc400373e624e9b0435847a79813c658,48.91,Low
b7e4aca3e798d20643faacb681272a9c,172.42,High
86f408a9212aebbcddb41c1e8c65ebe0,35.45,Low
c3fd670b03599718895218d479f660b6,921.04,High
407408433ee2a9ed77984aa5a06e2b2e,76.17,Medium
98cc17e56c367cbbe628aca0bbf9f08e,54.09,Medium
fc66798245e4d173bcc7eb36eb72a278,179.22,High
d0e9849de800fdb4cb3b5e6d42c6b367,85.79,Medium
4dadcd5f9e682c17fdc6dded70c048e0,41.43,Low
7209ce21354cff1e1957b42ea0a76cd1,162.65,High
cf1bc456a0d5c63bb6c94d3b8b2c56e7,71.27,Medium
00bdcdda88e6b02977fc6ce3d412c600,137.83,Medium
eba18dfa91e31cf748f9f52b779f9ae8,31.77,Low
a41753c6a1d8accb89732e36243432d7,45.69,Low
6f209510f34ce1a8c89d11273039981d,51.42,Medium
16e62e9da7d33d61b6f26ccf68bc962c,415.93,High
7ebe19943d85e81a7b0eb108681276b7,211.94,High
a062c240bb299fa3f0ce55cf05ec8390,77.51,Medium
7535955a5fee70328e9fe079653e03f1,209.67,High
444ebbf5602b5acdad22e0b4a9951bda,372.72,High
674b530698f9bd8a9167b30ed86bd51d,229.63,High
4bf27cd715a4b7ccb0ea582b5b5fd639,80.65,Medium
6a1dff28da32815c94da401e19d2a7f8,40.96,Low
31ebb964e83b9262b17cf1583a3eb45f,303.76,High
652c3ffc10b11f6bb6567b4976d901c6,37.26,Low
f18f5dcedf8a6caf530bf0cad9937b4f,79.8,Medium
ad133696906f6a78826daa0911b7daec,219.4,High
d74283a9b897322afe09916280aca43f,54.43,Medium
d288e92a6be123f2e77f34fafd902464,141.35,Medium
4254f084673c8b5d85ad824fae3aa522,275.11,High
eca3005a4f60ceb77b67a30b74095ddf,3.99,Low
595f598849d89203c28d05d0fbf3f92e,26.58,Low
b545ba7b0bd67a3128185c7214704319,340.08,High
b6b7ebd3ab897684bb22eaf084f8f299,60.85,Medium
7249fd69ae42373a6a357567e41ecc57,110.7,Medium
1767c122a3ee029a66f97b74a2538d2e,119.84,Medium
b95764ee8ef0302702f107df59c9c4a2,90.58,Medium
ff455a4ac6c4471e4e1ddc55f6610e60,320.07,High
9d43eaf1f72a6d200577517c4e4265e0,155.73,High
97f6c1beeb18315f25509f009a45b111,148.06,Medium
174fb39de9de15c80ea4076ba0cb6c83,93.91,Medium
710770cfb61b2c43a091ab2c7b89a921,65.11,Medium
32569fba210ee051f2c62dff9d4344ed,79.9,Medium
c1c7173565800e41c6701cfc4435f467,225.96,High
fcc92ad75bbb8728d4d4488325ffc907,297.95,High
ac14a1a3d8c2b071a150eb2990b5ecd8,49.77,Low
2f92b812fd7c7df5b629833c484cdf1d,61.36,Medium
9646b5afa783a0861b20b9b106229076,117.47,Medium
69bfec47c3230907ad9552f2f1e0c690,41.5,Low
ee0db22a8e742b752914016708470ec8,167.82,High
0435b65bfd0a1cd1c48a82f5b405ea78,154.14,High
972c2e78e9af23a750a48184aadfca4d,51.09,Medium
2f6c001bbacba3575b0852b17b0c3dd1,379.67,High
c7a01909a06bdf140604711177208036,146.13,Medium
239f380355f65dcb68551f07d16fc4a8,251.63,High
3d7fb1dd6ff6f0eedb9976eda81e4a95,20,Low
12950f3d9bc12065fc5da141faab5780,103.82,Medium
1488ee1c0dc7439e64d5df80ae9f6089,132.47,Medium
0ba2b0331265d38d1c6670ed6c749732,218.11,High
4197f94f8bddd171804b1360fa78d368,47.95,Low
6760e20addcf0121e9d58f2f1ff14298,88.78,Medium
