Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Total Profit
Foot Locker,1185732,01-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,In-store,300000
Foot Locker,1185732,02-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,0.3,In-store,150000
Foot Locker,1185732,03-01-2020,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,0.4,In-store,160000
Foot Locker,1185732,04-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875,0.4,In-store,153000
Foot Locker,1185732,05-01-2020,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,In-store,162000
Foot Locker,1185732,06-01-2020,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.3,In-store,150000
Foot Locker,1185732,07-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,312500,0.5,In-store,312500
Foot Locker,1185732,08-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet,135000
Foot Locker,1185732,21-01-2020,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.4,Outlet,152000
Foot Locker,1185732,22-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129938,0.4,Outlet,148500
Foot Locker,1185732,23-01-2020,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,162000
Foot Locker,1185732,24-01-2020,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.3,Outlet,150000
Foot Locker,1185732,25-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1220,610000,305000,0.5,Outlet,305000
Foot Locker,1185732,26-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,925,462500,138750,0.3,Outlet,138750
Foot Locker,1185732,27-01-2020,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.4,Outlet,152000
Foot Locker,1185732,28-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,126000,0.4,Outlet,144000
Foot Locker,1185732,29-01-2020,Northeast,New York,New York,Men's Apparel,60,850,510000,153000,0.3,Outlet,153000
Foot Locker,1185732,30-01-2020,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.3,Outlet,142500
Foot Locker,1185732,31-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,Outlet,300000
Foot Locker,1185732,01-02-2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet,135000
Foot Locker,1185732,02-02-2020,Northeast,New York,New York,Women's Street Footwear,40,900,360000,126000,0.4,Outlet,144000
Foot Locker,1185732,03-02-2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129938,0.4,Outlet,148500
Foot Locker,1185732,04-02-2020,Northeast,New York,New York,Men's Apparel,60,825,495000,148500,0.3,Outlet,148500
Foot Locker,1185732,05-02-2020,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.3,Outlet,142500
Foot Locker,1185732,06-02-2020,Northeast,New York,New York,Men's Street Footwear,60,1220,732000,366000,0.5,Outlet,366000
Foot Locker,1185732,07-02-2020,Northeast,New York,New York,Men's Athletic Footwear,55,925,508750,152625,0.3,Outlet,152625
Foot Locker,1185732,08-02-2020,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500,0.4,Outlet,180000
Foot Locker,1185732,09-02-2020,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750,0.4,Outlet,170000
Foot Locker,1185732,10-02-2020,Northeast,New York,New York,Men's Apparel,60,875,525000,157500,0.3,Outlet,157500
Foot Locker,1185732,03-03-2020,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.3,Outlet,195000
Foot Locker,1185732,04-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet,375000
